Date,Close,High,Low,Open,Volume,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,stoch_k,stoch_d,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,next_return,target
2020-01-02,153.0423126220703,153.14712365624922,150.86035596005522,151.28912308572728,22622100,,,,,,,,,,,153.0423126220703,,153.0423126220703,,153.0423126220703,,153.0423126220703,-0.012451916946142672,0
2020-01-07,150.14572143554688,152.13711630992105,149.89799290182077,151.8036372690105,21634100,,,,,,,,,,,152.0583453103172,,152.4873353385369,,152.80265377158648,,152.9799799264924,0.01592833296917151,1
2020-01-08,152.53729248046875,153.21380259511494,150.4982536880769,151.43201531179338,27746500,,,,,,,,,,,152.1454266139811,,152.49209316157803,,152.7922474464446,,152.97557507628323,0.012493242759298973,1
2020-01-10,153.72836303710938,155.5196738075105,153.5759079632633,155.13855066181137,20725900,,,,,,,,,,,152.7750177259818,,152.77793659702644,,152.89115378062877,,152.9975212431155,0.012024029995011176,1
2020-01-15,155.48155212402344,156.2057064523275,154.90034441786614,154.9479739066937,21417900,,,,,,,,,,153.21000213623046,153.8619153473103,,153.40037884357224,,153.14986220511227,,153.06200864986275,0.018323220282877584,1
2020-01-23,158.8545379638672,158.93076549395,157.472948511039,158.34954329861904,19680800,68.39142198885658,,,,,,,87.41465288218272,,156.6639846801758,156.84726114556693,,155.43980481152497,,154.13494036270606,,153.3313826406007,-0.01007704483784988,0
2020-01-24,157.25375366210938,159.62628593530488,156.69159211003426,159.60722542232784,24918100,59.47952415406774,,,,,,,73.03067685315409,79.70898571532918,156.94506225585937,156.92116887584737,,155.61256184491396,,154.25724676660423,,153.37041120797892,-0.016723330650696866,0
2020-01-27,154.6239471435547,155.67205711944214,152.64207571390978,153.54725367186205,32078100,48.33615891244266,,,,,,,45.629823086350896,68.69171760722924,157.0346206665039,156.50349219724868,,155.5184080638321,,154.27162717354346,,153.38288420236276,0.019595823134011425,1
2020-01-28,157.6539306640625,157.93976562594878,155.3766867212747,156.05318218295162,24899900,58.08074848224916,,,,,,,73.33965519947041,64.0000517129918,157.242333984375,156.71266282757847,,155.72179116861594,,154.40426652611285,,153.42538217710606,0.01559270956816916,1
2020-01-29,160.1121826171875,160.78869255037085,157.8730599183494,159.92162114861313,34754500,64.01151977640521,,,,,,,91.69581745694042,70.22176524758724,157.80544891357422,157.3307573347801,,156.13992368752753,,154.62810637282166,,153.49191750486807,0.028207837674848024,1
2020-01-30,164.62860107421875,165.83868921063896,162.73247986352183,165.83868921063896,51597500,71.88247173573785,,,,162.90788218275517,149.02227376206903,8.903024062311113,90.83031311995207,85.28859525878764,158.72015380859375,158.657638014678,155.9650779724121,156.94836915292672,,155.02028263562156,,153.6027302767024,-0.014758784328627983,0
2020-01-31,162.19888305664062,164.26650502733744,161.57955457958337,164.0854810621785,36142700,63.79856905249576,,,,163.73232891926585,149.11348406901539,9.345718717225134,72.4186348649184,84.98158848060363,159.10699462890625,159.30150074958027,156.42290649414062,157.44841809613757,,155.3017963776223,,153.68826413520927,0.02437885858579958,1
2020-02-03,166.15310668945312,166.26744067815594,162.36086462316248,162.3894481203382,30107000,69.75907564683304,,,,165.20611141239635,149.14134799922476,10.221023222672619,99.16087393620039,87.46994064035697,159.80064697265624,160.5472472841026,157.17372970581056,158.2774360574057,,155.72733795847842,,153.8122924193311,0.03291685837371805,1
