feature,importance
macd_diff,0.039448892862817726
close_high_ratio,0.03598824082040278
volatility_20,0.03457554369191104
momentum_20,0.034037204499630914
bb_width,0.03327192764720685
rsi,0.032293035543008955
ema_200,0.03207274496310272
volatility_10,0.031848245936854085
return_lag_2,0.03180345153479822
volatility_5,0.031604474538436664
momentum_10,0.031170440897423286
sma_200,0.029838066983515387
stoch_d,0.02970416846051839
high_low_ratio,0.02966429073416943
macd,0.029561884976023713
return_lag_1,0.029507460308643
return_lag_3,0.02898438952678764
momentum_5,0.02894110083869679
macd_signal,0.028852340375670322
sma_20,0.028828364998656132
close_low_ratio,0.028250912267493208
return_lag_10,0.02810639953945756
ema_20,0.02794313105127085
return_lag_5,0.027473641123238766
bb_high,0.027298252021316274
bb_low,0.026303404657384757
stoch_k,0.025788287296534436
sma_50,0.02565350261337951
month,0.02550262200882579
ema_10,0.024274007138384745
sma_10,0.024006816784019412
close_open_ratio,0.023050938410535248
Adj Close,0.023012264478968293
ema_50,0.022463199673322675
day_of_week,0.008876350797594364
