,feature,importance
6,bb_width,0.04018904985135133
24,volatility_20,0.0378100054002395
22,volatility_5,0.03581330300311665
3,macd_diff,0.03561597313138218
23,volatility_10,0.03524716154888202
2,macd_signal,0.035159473344875486
15,sma_200,0.03358371405323131
1,macd,0.03327611462951649
27,momentum_20,0.032943800283894674
29,close_high_ratio,0.03143090412991526
8,stoch_d,0.03139150781373431
0,rsi,0.031056335717731726
33,month,0.030104936955444184
19,return_lag_3,0.029635005823744592
25,momentum_5,0.029285714887286703
16,ema_200,0.029066838821496785
18,return_lag_2,0.02895650310330314
21,return_lag_10,0.028949516951079307
7,stoch_k,0.02891969706574925
20,return_lag_5,0.02867592199757039
26,momentum_10,0.02808271562171072
30,close_low_ratio,0.02804110182626888
31,high_low_ratio,0.027484909692473608
5,bb_low,0.02719890455848251
13,sma_50,0.027074683901997763
17,return_lag_1,0.026643000994412202
28,close_open_ratio,0.026429336275933548
4,bb_high,0.026136748474962515
14,ema_50,0.025942401301204895
11,sma_20,0.02539205893973456
9,sma_10,0.024877831422197603
10,ema_10,0.024870377920929224
12,ema_20,0.024076996677895885
32,day_of_week,0.010637453878250833
