Date,Close,High,Low,Open,Volume,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,stoch_k,stoch_d,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,next_return,return_3d,return_5d,target_3d,target_5d,return_lag_1,return_lag_2,return_lag_3,return_lag_5,return_lag_10,volatility_5,volatility_10,volatility_20,momentum_5,momentum_10,momentum_20,close_open_ratio,close_high_ratio,close_low_ratio,high_low_ratio,day_of_week,month,ticker
2020-01-02,49.64269256591797,49.65189263255428,48.98017544374947,49.016982730566845,13899600,,,,,,,,,,,49.64269256591797,,49.64269256591797,,49.64269256591797,,49.64269256591797,-0.0035218719219545225,0.003892486084102975,0.012456723899902933,,1,,,,,,,,,,,,1.0127651642450226,0.9998147086415337,1.0135262300750507,1.0137140625307934,3,1,ORCL
2020-01-03,49.467857360839844,49.73470491239703,48.72252914390992,48.759336428980404,11026700,,,,,,,,,,,49.61090434681285,,49.62604159400577,,49.63583628336589,,49.6409529121361,0.0052084787266086785,0.011364079772962166,0.01734301112101444,1,1,-0.0035218719219545225,,,,,,,,,,,1.014530979782537,0.9946345805805582,1.015297404096747,1.020774286275195,4,1,ORCL
2020-01-06,49.72550964355469,49.8727352879046,49.09059620031001,49.09979977753352,10982400,,,,,,,,,,,49.63174167349318,,49.63551474158186,,49.63935288572623,,49.64179427264773,0.0022205184651702403,0.010770492673554788,0.014487952814692173,1,1,0.0052084787266086785,0.0016682632096707284,,,,,,,,,,1.012743633759327,0.9970479733365334,1.0129335044262646,1.0159325644447896,0,1,ORCL
2020-01-07,49.8359260559082,49.99235527138159,49.32983814257404,49.58748213260537,12015400,,,,,,,,,,,49.66886610665955,,49.65460153342246,,49.647061637498076,,49.64372593218266,0.003894539492654392,0.009829312787804856,0.017804319885451836,,1,0.0022205184651702403,0.007440562714966736,0.003892486084102975,,,,,,,,,1.005010214526288,0.9968709372738248,1.0102592656369855,1.0134303527794422,1,1,ORCL
2020-01-08,50.03001403808594,50.46441227116094,49.63258339186713,49.854403016041736,11856700,,,,,,,,,,,49.73452936691889,,49.69035510529517,,49.662079378697605,,49.647569594927965,0.0046185044560957955,0.00831333852024252,0.0116387501765145,,1,0.003894539492654392,0.0061237058546812495,0.011364079772962166,,,,,,,,,1.0035224776834193,0.9913919886604278,1.0080074543587818,1.0167597336758842,2,1,ORCL
2020-01-09,50.261077880859375,50.64926398355432,49.93758593618759,50.14092352850932,10671000,,,,,,,,,,,49.83026546036261,,49.7447096553489,,49.68556951603728,,49.65367415498699,0.001287299895868399,0.009194847460920252,0.019308663563970985,,1,0.0046185044560957955,0.008531030896751446,0.010770492673554788,0.012456723899902933,,0.0035393655971644386,,,0.0024840338437149166,,,1.0023963330528154,0.9923357997300615,1.0064779251661296,1.0142513506415016,3,1,ORCL
2020-01-10,50.32577896118164,50.510631009790046,50.113200339297826,50.41820322260606,9734800,,,,,,,,,,,49.92035882414788,,49.80004958923773,,49.71067576878804,,49.660361764998875,0.0023874746155061466,0.005693342806319945,0.012488515342804707,,1,0.001287299895868399,0.005911749752269602,0.009829312787804856,0.01734301112101444,,0.0016465172852663276,,,0.0034458682072795012,,,0.998166847378191,0.9963403338086871,1.004241968591998,1.007930658345533,4,1,ORCL
2020-01-13,50.44593048095703,50.64002353447439,50.24259288636207,50.33501714258194,10858900,,,,,,,,,,,50.01591730720409,,49.86156205511576,,49.73950928691232,,49.66817836913776,0.005496783221055956,0.015573538550606614,0.011726092773964636,1,1,0.0023874746155061466,0.003677847907198384,0.00831333852024252,0.014487952814692173,,0.0013477634247159942,,,0.0028816673850589948,,,1.002203502544976,0.9961672005664606,1.0040471158615334,1.0079102336340646,0,1,ORCL
2020-01-14,50.72322082519531,51.00049719641705,50.37200220790892,50.39048776942508,12627200,,,,,,,,,,,50.14451794683885,,49.943624795123334,,49.77808620998224,,49.67867630402391,-0.0021867687143691805,0.004555160238698175,-0.0029156665504481705,,,0.005496783221055956,0.007897381266969372,0.009194847460920252,0.017804319885451836,,0.001697114889105109,,,0.0035369203362361377,,,1.0066030925775662,0.994563261409906,1.006972496662665,1.0124770698197392,1,1,ORCL
2020-01-15,50.612300872802734,51.000490562628435,50.53836216211587,50.72321422747287,9090800,,,,,,,,,,50.10703086853027,50.22956938792319,,50.0073082310928,,49.81080051048501,,49.68796610072818,0.012235192641744996,0.008400394009185241,0.004017573189527557,,,-0.0021867687143691805,0.003297994313109287,0.005693342806319945,0.0116387501765145,,0.003031379998140634,,,0.0023206586948314235,,,0.9978133610742266,0.992388510668363,1.0014630215053208,1.0091441111413575,2,1,ORCL
